Name,Position,Price,Quality,Service,Space,ZAvg_Score
Sữa Chua Cô Oanh - Sữa Chua Trân Châu & Đồ Ăn Vặt,8.6,8.2,8.6,8.3,7.8,8.3
Bánh Mì Nướng Lạng Sơn - Trần Quốc Hoàn,5.8,6.9,6.1,6.7,5.2,6.1
Cơm Rang Đức Hải - Nguyễn Chí Thanh,--,--,--,--,--,_._
Bánh Giò - Đào Duy Từ,7.3,7.5,8.8,8.3,6.8,7.7
Chè Phương Trang - Duy Tân,6.3,6.3,6.3,5.7,5.7,6.1
May Salad - Shop Online,7.8,7.8,8.2,8.0,7.8,7.9
Bánh Tráng Thịt Heo Phú Cường - Yết Kiêu,7.5,6.9,7.5,6.8,7.2,7.1
Bánh Tráng Trộn Sài Gòn - Nguyễn Siêu,7.1,7.6,7.8,7.6,6.4,7.3
Long Thủy - Bún Thái Hải Sản - Nguyễn Ngọc Vũ,6.7,6.4,6.3,6.0,5.8,6.2
Cafe Sách - Tiệm Ký Gửi Sách Bách Khoa,7.2,7.1,6.8,7.2,7.8,7.2
Tiger Sugar By HongKong - Bạch Mai,7.0,6.7,5.7,6.2,6.5,6.4
My Healthy Corner - Shop Online - Đặng Văn Ngữ,7.5,6.9,7.8,7.2,6.0,7.1
Royaltea - Mễ Trì,10.0,9.6,10.0,10.0,10.0,9.9
Thu Hà - Cháo Lươn Nghệ An,6.6,6.8,6.6,6.6,5.8,6.5
Bún Ngan Mọc 555 - Lê Quý Đôn,6.3,7.7,9.0,9.7,8.3,8.2
Cà Phê Chợ,7.8,7.2,7.5,7.7,8.0,7.7
Cô Thêm - Bún Ốc Hàng Chai 25 Năm,6.0,5.4,6.4,5.5,5.0,5.6
